Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
Loading preprocessed features from cache: LensDataset_cache.pt...
Loaded 25004 samples from cache
pos2pos_sim: 0.9107, pos2neg_sim: 0.0893
pos2pos_sim: 0.9186, pos2neg_sim: 0.0814
pos2pos_sim: 0.9181, pos2neg_sim: 0.0820
pos2pos_sim: 0.9011, pos2neg_sim: 0.0861
pos2pos_sim: 0.6685, pos2neg_sim: 0.0000
pos2pos_sim: 0.8672, pos2neg_sim: 0.0512
pos2pos_sim: 0.9218, pos2neg_sim: 0.0717
pos2pos_sim: 0.9143, pos2neg_sim: 0.0814
pos2pos_sim: 0.9193, pos2neg_sim: 0.0699
pos2pos_sim: 0.8978, pos2neg_sim: 0.0652
pos2pos_sim: 0.8651, pos2neg_sim: 0.0197
pos2pos_sim: 0.8677, pos2neg_sim: 0.0208
pos2pos_sim: 0.8958, pos2neg_sim: 0.0412
pos2pos_sim: 0.8689, pos2neg_sim: 0.0272
pos2pos_sim: 0.8906, pos2neg_sim: 0.0207
pos2pos_sim: 0.9125, pos2neg_sim: 0.0494
pos2pos_sim: 0.8681, pos2neg_sim: 0.0065
pos2pos_sim: 0.9003, pos2neg_sim: 0.0619
pos2pos_sim: 0.9175, pos2neg_sim: 0.0320
pos2pos_sim: 0.8700, pos2neg_sim: 0.0041
pos2pos_sim: 0.9179, pos2neg_sim: 0.0370
pos2pos_sim: 0.9233, pos2neg_sim: 0.0447
pos2pos_sim: 0.9074, pos2neg_sim: 0.0270
pos2pos_sim: 0.8791, pos2neg_sim: 0.0202
pos2pos_sim: 0.8861, pos2neg_sim: 0.0183
pos2pos_sim: 0.9013, pos2neg_sim: 0.0284
pos2pos_sim: 0.8974, pos2neg_sim: 0.0330
pos2pos_sim: 0.8728, pos2neg_sim: 0.0100
pos2pos_sim: 0.9042, pos2neg_sim: 0.0296
pos2pos_sim: 0.9002, pos2neg_sim: 0.0359
pos2pos_sim: 0.8844, pos2neg_sim: 0.0112
pos2pos_sim: 0.8962, pos2neg_sim: 0.0167
pos2pos_sim: 0.8916, pos2neg_sim: 0.0295
pos2pos_sim: 0.9067, pos2neg_sim: 0.0214
pos2pos_sim: 0.8800, pos2neg_sim: 0.0281
pos2pos_sim: 0.8815, pos2neg_sim: 0.0038
pos2pos_sim: 0.9135, pos2neg_sim: 0.0380
pos2pos_sim: 0.9087, pos2neg_sim: 0.0484
pos2pos_sim: 0.8995, pos2neg_sim: 0.0376
pos2pos_sim: 0.8848, pos2neg_sim: 0.0215
pos2pos_sim: 0.8801, pos2neg_sim: 0.0195
pos2pos_sim: 0.8956, pos2neg_sim: 0.0195
pos2pos_sim: 0.9102, pos2neg_sim: 0.0400
pos2pos_sim: 0.9037, pos2neg_sim: 0.0373
pos2pos_sim: 0.8863, pos2neg_sim: 0.0228
pos2pos_sim: 0.8938, pos2neg_sim: 0.0260
pos2pos_sim: 0.8868, pos2neg_sim: 0.0119
pos2pos_sim: 0.8929, pos2neg_sim: 0.0268
pos2pos_sim: 0.9038, pos2neg_sim: 0.0257
pos2pos_sim: 0.9040, pos2neg_sim: 0.0258
pos2pos_sim: 0.8984, pos2neg_sim: 0.0139
pos2pos_sim: 0.9034, pos2neg_sim: 0.0228
